user_id,model,artist_pred,track_pred,resolved,match_type,popularity,track_genre
user_000021,anthropic/claude-sonnet-4.5,Buzzcocks,Ever Fallen in Love (With Someone You Shouldn't've),False,,,
user_000021,anthropic/claude-sonnet-4.5,The Replacements,Alex Chilton,False,,,
user_000021,anthropic/claude-sonnet-4.5,Guided by Voices,Game of Pricks,True,exact,55.0,power-pop
user_000021,anthropic/claude-sonnet-4.5,Superchunk,Slack Motherfucker,False,,,
user_000021,anthropic/claude-sonnet-4.5,The Undertones,Teenage Kicks,False,,,
user_000021,anthropic/claude-sonnet-4.5,Dinosaur Jr.,Feel the Pain,True,exact,59.0,power-pop
user_000021,anthropic/claude-sonnet-4.5,Hüsker Dü,Makes No Sense at All,False,,,
user_000021,anthropic/claude-sonnet-4.5,The Marked Men,Time,False,,,
user_000021,anthropic/claude-sonnet-4.5,Dillinger Four,Doublewhiskeycokenoice,False,,,
user_000021,anthropic/claude-sonnet-4.5,The Descendents,Suburban Home,False,,,
user_000021,gpt-4.1,Buzzcocks,Ever Fallen in Love (With Someone You Shouldn't've),False,,,
user_000021,gpt-4.1,Supergrass,Alright,False,,,
user_000021,gpt-4.1,The Replacements,Alex Chilton,False,,,
user_000021,gpt-4.1,The Raconteurs,"Steady, As She Goes",True,exact,70.0,blues
user_000021,gpt-4.1,The Undertones,Teenage Kicks,False,,,
user_000021,gpt-4.1,The Hives,Hate To Say I Told You So,True,exact,69.0,garage
user_000021,gpt-4.1,The Stone Roses,She Bangs The Drums,False,,,
user_000021,gpt-4.1,The Vaselines,Son of a Gun,False,,,
user_000021,gpt-4.1,The Modern Lovers,Roadrunner,False,,,
user_000021,gpt-4.1,The Kinks,Victoria,False,,,
user_000041,anthropic/claude-sonnet-4.5,Covenant,Dead Stars,False,,,
user_000041,anthropic/claude-sonnet-4.5,Assemblage 23,Let Me Be Your Armor,False,,,
user_000041,anthropic/claude-sonnet-4.5,Icon of Coil,Simulated,False,,,
user_000041,anthropic/claude-sonnet-4.5,Rotersand,Exterminate Annihilate Destroy,False,,,
user_000041,anthropic/claude-sonnet-4.5,Combichrist,What the Fuck is Wrong with You,False,,,
user_000041,anthropic/claude-sonnet-4.5,And One,Panzermensch,False,,,
user_000041,anthropic/claude-sonnet-4.5,Suicide Commando,Bind Torture Kill,False,,,
user_000041,anthropic/claude-sonnet-4.5,Front Line Assembly,Maniacal,False,,,
user_000041,anthropic/claude-sonnet-4.5,Mesh,Leave You Nothing,False,,,
user_000041,anthropic/claude-sonnet-4.5,Neuroticfish,Waking Up the Ghost,False,,,
user_000041,gpt-4.1,Covenant,Call the Ships to Port,False,,,
user_000041,gpt-4.1,Icon of Coil,Shallow Nation,False,,,
user_000041,gpt-4.1,And One,Military Fashion Show,False,,,
user_000041,gpt-4.1,Front 242,Headhunter,True,artist+substr,28.0,industrial
user_000041,gpt-4.1,De/Vision,Your Hands On My Skin,False,,,
user_000041,gpt-4.1,Camouflage,The Great Commandment,False,,,
user_000041,gpt-4.1,The Chemical Brothers,Block Rockin' Beats,True,exact,54.0,breakbeat
user_000041,gpt-4.1,Faithless,Insomnia,True,artist+substr,17.0,trip-hop
user_000041,gpt-4.1,In Strict Confidence,Zauberschloss,False,,,
user_000041,gpt-4.1,Mesh,Friends Like These,False,,,
user_000121,anthropic/claude-sonnet-4.5,Interpol,Obstacle 1,False,,,
user_000121,anthropic/claude-sonnet-4.5,Editors,Munich,False,,,
user_000121,anthropic/claude-sonnet-4.5,Bloc Party,Banquet,False,,,
user_000121,anthropic/claude-sonnet-4.5,Massive Attack,Teardrop,True,exact,0.0,electronic
user_000121,anthropic/claude-sonnet-4.5,Underworld,Born Slippy .NUXX,False,,,
user_000121,anthropic/claude-sonnet-4.5,Franz Ferdinand,Take Me Out,True,exact,79.0,alt-rock
user_000121,anthropic/claude-sonnet-4.5,Joy Division,Love Will Tear Us Apart,True,exact,0.0,alt-rock
user_000121,anthropic/claude-sonnet-4.5,Covenant,Dead Stars,False,,,
user_000121,anthropic/claude-sonnet-4.5,Arctic Monkeys,I Bet You Look Good on the Dancefloor,True,exact,75.0,garage
user_000121,anthropic/claude-sonnet-4.5,Placebo,Every You Every Me,False,,,
user_000121,gpt-4.1,Steven Wilson,The Raven That Refused to Sing,False,,,
user_000121,gpt-4.1,Editors,Munich,False,,,
user_000121,gpt-4.1,Interpol,Evil,False,,,
user_000121,gpt-4.1,Massive Attack,Teardrop,True,exact,0.0,electronic
user_000121,gpt-4.1,Depeche Mode,Enjoy the Silence,False,,,
user_000121,gpt-4.1,Placebo,Every You Every Me,False,,,
user_000121,gpt-4.1,Justice,D.A.N.C.E.,True,exact,66.0,electronic
user_000121,gpt-4.1,Muse,Hysteria,False,,,
user_000121,gpt-4.1,IAMX,Spit It Out,False,,,
user_000121,gpt-4.1,Arcade Fire,Rebellion (Lies),False,,,
user_000161,anthropic/claude-sonnet-4.5,A Perfect Circle,The Outsider,False,,,
user_000161,anthropic/claude-sonnet-4.5,Gojira,Flying Whales,True,exact,61.0,death-metal
user_000161,anthropic/claude-sonnet-4.5,Karnivool,Goliath,False,,,
user_000161,anthropic/claude-sonnet-4.5,Deftones,Change (In the House of Flies),True,exact,77.0,alt-rock
user_000161,anthropic/claude-sonnet-4.5,Steven Wilson,The Raven That Refused to Sing,False,,,
user_000161,anthropic/claude-sonnet-4.5,Soen,Lotus,False,,,
user_000161,anthropic/claude-sonnet-4.5,Riverside,Second Life Syndrome,False,,,
user_000161,anthropic/claude-sonnet-4.5,Tesseract,Nocturne,False,,,
user_000161,anthropic/claude-sonnet-4.5,Leprous,The Price,False,,,
user_000161,anthropic/claude-sonnet-4.5,Anathema,"Untouchable, Part 1",True,exact,43.0,goth
user_000161,gpt-4.1,A Perfect Circle,The Outsider,False,,,
user_000161,gpt-4.1,Steven Wilson,Drive Home,True,exact,47.0,metal
user_000161,gpt-4.1,Riverside,Second Life Syndrome,False,,,
user_000161,gpt-4.1,Gojira,Silvera,True,exact,62.0,death-metal
user_000161,gpt-4.1,Karnivool,New Day,False,,,
user_000161,gpt-4.1,Anathema,"Untouchable, Part 1",True,exact,43.0,goth
user_000161,gpt-4.1,Soen,Lotus,False,,,
user_000161,gpt-4.1,The Mars Volta,The Widow,False,,,
user_000161,gpt-4.1,Pain of Salvation,Iter Impius,False,,,
user_000161,gpt-4.1,Devin Townsend Project,Deadhead,False,,,
user_000181,anthropic/claude-sonnet-4.5,Pavement,Cut Your Hair,False,,,
user_000181,anthropic/claude-sonnet-4.5,Pixies,Debaser,False,,,
user_000181,anthropic/claude-sonnet-4.5,Interpol,Obstacle 1,False,,,
user_000181,anthropic/claude-sonnet-4.5,The Replacements,Bastards of Young,False,,,
user_000181,anthropic/claude-sonnet-4.5,Violent Femmes,Blister in the Sun,True,exact,71.0,acoustic
user_000181,anthropic/claude-sonnet-4.5,Franz Ferdinand,Take Me Out,True,exact,79.0,alt-rock
user_000181,anthropic/claude-sonnet-4.5,The White Stripes,Fell in Love with a Girl,True,exact,72.0,blues
